sentence,class
Retrieve all current medications.,find_all_active_medications
Compile a list of all active medications.,find_all_active_medications
Gather all active medications.,find_all_active_medications
Peruse all medications that are currently in use.,find_all_active_medications
Uncover all medications that are currently operational.,find_all_active_medications
Ascertain all drugs currently in effect.,find_all_active_medications
Reveal any medications that are currently effective.,find_all_active_medications
Obtain a record of all active medications.,find_all_active_medications
Acquire a register of all active medications.,find_all_active_medications
Identify all medications that are still active.,find_all_active_medications
Find all current drugs.,find_all_active_medications
Locate all drugs that remain in use.,find_all_active_medications
Pick out all medications that are still in effect.,find_all_active_medications
Collate a roster of all medications that are currently in effect.,find_all_active_medications
Compile all medications currently in circulation.,find_all_active_medications
Put together a record of all current drugs.,find_all_active_medications
Assemble the information on all medications active at present.,find_all_active_medications
Set forth all medications currently in operation.,find_all_active_medications
Recount all drugs that are currently functioning.,find_all_active_medications
Observe all medications which are active.,find_all_active_medications
Establish all medications now in vogue.,find_all_active_medications
Search for all medications that are now in effect.,find_all_active_medications
Collate all medications in use right now.,find_all_active_medications
Summon all drugs which are currently energetic.,find_all_active_medications
Access all medications in active use.,find_all_active_medications
Gather together all medications that still have an effect.,find_all_active_medications
Collect a registry of all effective medications.,find_all_active_medications
Examine the information on all medications that are current.,find_all_active_medications
Review the information on all medications currently in effect.,find_all_active_medications
Acquire a thorough account of all medications that are functional.,find_all_active_medications
Investigate all medications that are in use right now.,find_all_active_medications
List all medications that are presently functioning.,find_all_active_medications
Ascertain a record of all current drugs.,find_all_active_medications
Put together a directory of all drugs that are presently in use.,find_all_active_medications
Survey the details of all medications now in effect.,find_all_active_medications
Prove the presence of all medications that are operational.,find_all_active_medications
Establish a list of all functioning medications.,find_all_active_medications
Generate a log of all medications active currently.,find_all_active_medications
Establish a profile of all medications that are current.,find_all_active_medications
Examine a register of all medications that are currently effective.,find_all_active_medications
Check the facts on all existing drugs.,find_all_active_medications
Make an audit of all drugs in active use.,find_all_active_medications
Reexamine records of all medications that are currently in circulation.,find_all_active_medications
Review documents of all medications in use right now.,find_all_active_medications
Research the information on all drugs that are currently in operation.,find_all_active_medications
Produce a list of all drugs now in use.,find_all_active_medications
Compile an account of all drugs that are functional.,find_all_active_medications
Collect a dossier of all medications that are still functional.,find_all_active_medications
Create a catalog of all active medications.,find_all_active_medications
Obtain a records of all drugs now active.,find_all_active_medications
Render a register of all drugs that are currently operational.,find_all_active_medications
Pursue the description of all existing medications.,find_all_active_medications
Analyze the information on all existing drugs.,find_all_active_medications
Scan the list of all drugs that remain in circulation.,find_all_active_medications
Take an appraisal of all medications in vigor.,find_all_active_medications
Retrieve particulars of all medications that exist currently.,find_all_active_medications
Seek an overview of all drugs still current.,find_all_active_medications
Garner details of all existing medications.,find_all_active_medications
Gather insights of all drugs that are currently in use.,find_all_active_medications
Examine the facts about all medications now functioning.,find_all_active_medications
Conclude all details about medications active at present.,find_all_active_medications
Discover the information on all medications that still exist.,find_all_active_medications
Peruse all specifics of medications that are currently functioning.,find_all_active_medications
Make a survey of all medications that are currently alive.,find_all_active_medications
Put together records of all drugs that are presently being employed.,find_all_active_medications
Make a listing of all medications in use now.,find_all_active_medications
Generate a summary of all drugs that are currently efficacious.,find_all_active_medications
Collect the data of drugs now in effect.,find_all_active_medications
Produce a directory of medications that are now even working.,find_all_active_medications
Generate a compilation of all drugs presently viable.,find_all_active_medications
Render a tabulation of all medications still effective.,find_all_active_medications
Assemble a roster of all drugs that are still in effect.,find_all_active_medications
Generate a round-up of all drugs currently being utilized.,find_all_active_medications
Assemble a profile of all existing drugs.,find_all_active_medications
Collate all particulars of medications that are presently in vigor.,find_all_active_medications
Compile a compilation of all medications that are still in operation.,find_all_active_medications
Construct a register of all drugs effective right now.,find_all_active_medications
Construct a synopsis of all drugs that are currently active.,find_all_active_medications
Assess the details of all medications in use currently.,find_all_active_medications
Obtain a log of all medications that are currently in state of vitality.,find_all_active_medications
Stockpile a directory of all medications that are still inefficient.,find_all_active_medications
Obtain a collection of medications currently in use.,find_all_active_medications
Assemble a dossier of all existing drugs.,find_all_active_medications
Estimate a register of drugs now in operation.,find_all_active_medications
Round up all drugs that are currently working.,find_all_active_medications
Compile an inventory of medications that are presently in circulation.,find_all_active_medications
Compare the information on all medications that are currently available.,find_all_active_medications
Retrieve details on all medications that are presently in effect.,find_all_active_medications
Get a registry of medications that are still in action.,find_all_active_medications
Appraise records of drugs currently in use.,find_all_active_medications
Make a survey of all medications that are now active.,find_all_active_medications
Investigate the facts concerning all drugs that are presently functioning.,find_all_active_medications
Unearth an account of all medications still in business.,find_all_active_medications
Find out the information on drugs that continue working.,find_all_active_medications
Pick up a database of all medications in vigor.,find_all_active_medications
Make an account of all medications presently in circulation.,find_all_active_medications
Assemble a reference of all medications that are now going.,find_all_active_medications
Retrieve the pertinent information of all medications that are currently thriving.,find_all_active_medications
Put together a database of all medications that remain in functioning.,find_all_active_medications
Gather data of all medications still in activity.,find_all_active_medications
Identify medications that are no longer in use.,find_all_inactive_medications
Discover medications that are not currently active.,find_all_inactive_medications
Search for inactive medications.,find_all_inactive_medications
Locate medications that are no longer being employed.,find_all_inactive_medications
Uncover medications that are not currently being used.,find_all_inactive_medications
Unearth medications that are not functioning.,find_all_inactive_medications
Come across medications that are no longer functional.,find_all_inactive_medications
Find medications that are no longer functional.,find_all_inactive_medications
Uncover medications that are currently inactive.,find_all_inactive_medications
Come across medications that are not currently being used.,find_all_inactive_medications
Track down medications that are no longer being used.,find_all_inactive_medications
Search for medications that have been deactivated.,find_all_inactive_medications
Look up medications that are no longer in use.,find_all_inactive_medications
Uncover medications that are not functioning.,find_all_inactive_medications
Discover medications that are no longer active.,find_all_inactive_medications
Track down medications that are not currently active.,find_all_inactive_medications
Identify medications that have become deactivated.,find_all_inactive_medications
Scan for medications that are no longer being used.,find_all_inactive_medications
Examine for medications that are not currently functional.,find_all_inactive_medications
Retrieve medications that are not performing.,find_all_inactive_medications
Explore for medications that are no longer performing.,find_all_inactive_medications
Seek medications that are no longer working.,find_all_inactive_medications
Track down medications that are not running.,find_all_inactive_medications
Ascertain medications that are no longer in action.,find_all_inactive_medications
Identify medications that are no longer employed.,find_all_inactive_medications
Come across medications that are no longer being utilized.,find_all_inactive_medications
Retrieve medications that are not currently being applied.,find_all_inactive_medications
Search for medications that have been become deactivated.,find_all_inactive_medications
Look up medications that have become disengaged.,find_all_inactive_medications
Examine for medications that have become suspended.,find_all_inactive_medications
Retrieve medications that are no longer operational.,find_all_inactive_medications
Identify medications that are not currently operational.,find_all_inactive_medications
Seek medications that are not operational.,find_all_inactive_medications
Scrutinize for medications that are no longer in effect.,find_all_inactive_medications
Discover medications that are not currently in effect.,find_all_inactive_medications
Track down medications that are not in force.,find_all_inactive_medications
Scan for medications that are no longer effective.,find_all_inactive_medications
Search for medications that have been deactivated.,find_all_inactive_medications
Look up medications that have been deactivated.,find_all_inactive_medications
Examine for medications that are no longer functioning.,find_all_inactive_medications
Retrieve medications that are not currently operating.,find_all_inactive_medications
Explore for medications that are no longer working.,find_all_inactive_medications
Seek medications that are no longer performing.,find_all_inactive_medications
Ascertain medications that are not performing.,find_all_inactive_medications
Track down medications that are not functioning.,find_all_inactive_medications
Inspect for medications that are no longer running.,find_all_inactive_medications
Check for medications that have been deactivated.,find_all_inactive_medications
Pinpoint medications that are not activated.,find_all_inactive_medications
Investigate for medications that are no longer running.,find_all_inactive_medications
Discover medications that have been deactivated.,find_all_inactive_medications
Look for medications that are not operating.,find_all_inactive_medications
Find medications that are not operating.,find_all_inactive_medications
Unearth medications that are not running.,find_all_inactive_medications
Come across medications that are not working.,find_all_inactive_medications
Uncover medications that are no longer active.,find_all_inactive_medications
Gain knowledge of medications that are not activated.,find_all_inactive_medications
Track down medications that are not activated.,find_all_inactive_medications
Locate medications that are not running.,find_all_inactive_medications
Seek medications that are not currently operating.,find_all_inactive_medications
Discover medications that have become deactivated.,find_all_inactive_medications
Search for medications that have become inactive.,find_all_inactive_medications
Examine for medications that are not activated.,find_all_inactive_medications
Retrieve medications that are no longer activated.,find_all_inactive_medications
Explore medications that have been deactivated.,find_all_inactive_medications
Identify medications that are no longer effective.,find_all_inactive_medications
Seek medications that are no longer running.,find_all_inactive_medications
Ascertain medications that are not behaving.,find_all_inactive_medications
Search for medications that have been disengaged.,find_all_inactive_medications
Examine for medications that have been disabled.,find_all_inactive_medications
Retrieve medications that are not effective.,find_all_inactive_medications
Explore for medications that are no longer effective.,find_all_inactive_medications
Track down medications that are not currently behaving.,find_all_inactive_medications
Look up medications that have been disengaged.,find_all_inactive_medications
Unearth medications that are not effective.,find_all_inactive_medications
Come across medications that are not effective.,find_all_inactive_medications
Identify medications that are not operating.,find_all_inactive_medications
Cogitate medications that have been deactivated.,find_all_inactive_medications
Scan for medications that have been deactivated.,find_all_inactive_medications
Involvement medications that are not currently active.,find_all_inactive_medications
Look for medications that are no longer performing.,find_all_inactive_medications
Find medications that are no longer performing.,find_all_inactive_medications
Search for medications that are not functioning.,find_all_inactive_medications
Identify medications that are not functioning.,find_all_inactive_medications
Uncover medications that are not operational.,find_all_inactive_medications
Retrieve medications that are no longer operational.,find_all_inactive_medications
Discover medications that have become disabled.,find_all_inactive_medications
Consider medications that are not operating.,find_all_inactive_medications
Inspect for medications that are not active.,find_all_inactive_medications
Ascertain medications that are not currently active.,find_all_inactive_medications
Track down medications that have been deactivated.,find_all_inactive_medications
Scan for medications that have become inactive.,find_all_inactive_medications
Look up medications that are not active.,find_all_inactive_medications
Examine for medications that have been suspended.,find_all_inactive_medications
Examine medications that are no longer functioning.,find_all_inactive_medications
