sentence,class
Retrieve all current medications.,find_all_active_medications
Compile a list of all active medications.,find_all_active_medications
Gather all active medications.,find_all_active_medications
Peruse all medications that are currently in use.,find_all_active_medications
Uncover all medications that are currently operational.,find_all_active_medications
Ascertain all drugs currently in effect.,find_all_active_medications
Reveal any medications that are currently effective.,find_all_active_medications
Obtain a record of all active medications.,find_all_active_medications
Acquire a register of all active medications.,find_all_active_medications
Identify all medications that are still active.,find_all_active_medications
Find all current drugs.,find_all_active_medications
Locate all drugs that remain in use.,find_all_active_medications
Pick out all medications that are still in effect.,find_all_active_medications
Collate a roster of all medications that are currently in effect.,find_all_active_medications
Compile all medications currently in circulation.,find_all_active_medications
Put together a record of all current drugs.,find_all_active_medications
Assemble the information on all medications active at present.,find_all_active_medications
Set forth all medications currently in operation.,find_all_active_medications
Recount all drugs that are currently functioning.,find_all_active_medications
Observe all medications which are active.,find_all_active_medications
Establish all medications now in vogue.,find_all_active_medications
Search for all medications that are now in effect.,find_all_active_medications
Collate all medications in use right now.,find_all_active_medications
Summon all drugs which are currently energetic.,find_all_active_medications
Access all medications in active use.,find_all_active_medications
Gather together all medications that still have an effect.,find_all_active_medications
Collect a registry of all effective medications.,find_all_active_medications
Examine the information on all medications that are current.,find_all_active_medications
Review the information on all medications currently in effect.,find_all_active_medications
Acquire a thorough account of all medications that are functional.,find_all_active_medications
Investigate all medications that are in use right now.,find_all_active_medications
List all medications that are presently functioning.,find_all_active_medications
Ascertain a record of all current drugs.,find_all_active_medications
Put together a directory of all drugs that are presently in use.,find_all_active_medications
Survey the details of all medications now in effect.,find_all_active_medications
Prove the presence of all medications that are operational.,find_all_active_medications
Establish a list of all functioning medications.,find_all_active_medications
Generate a log of all medications active currently.,find_all_active_medications
Establish a profile of all medications that are current.,find_all_active_medications
Examine a register of all medications that are currently effective.,find_all_active_medications
Check the facts on all existing drugs.,find_all_active_medications
Make an audit of all drugs in active use.,find_all_active_medications
Reexamine records of all medications that are currently in circulation.,find_all_active_medications
Review documents of all medications in use right now.,find_all_active_medications
Research the information on all drugs that are currently in operation.,find_all_active_medications
Produce a list of all drugs now in use.,find_all_active_medications
Compile an account of all drugs that are functional.,find_all_active_medications
Collect a dossier of all medications that are still functional.,find_all_active_medications
Create a catalog of all active medications.,find_all_active_medications
Obtain a records of all drugs now active.,find_all_active_medications
Render a register of all drugs that are currently operational.,find_all_active_medications
Pursue the description of all existing medications.,find_all_active_medications
Analyze the information on all existing drugs.,find_all_active_medications
Scan the list of all drugs that remain in circulation.,find_all_active_medications
Take an appraisal of all medications in vigor.,find_all_active_medications
Retrieve particulars of all medications that exist currently.,find_all_active_medications
Seek an overview of all drugs still current.,find_all_active_medications
Garner details of all existing medications.,find_all_active_medications
Gather insights of all drugs that are currently in use.,find_all_active_medications
Examine the facts about all medications now functioning.,find_all_active_medications
Conclude all details about medications active at present.,find_all_active_medications
Discover the information on all medications that still exist.,find_all_active_medications
Peruse all specifics of medications that are currently functioning.,find_all_active_medications
Make a survey of all medications that are currently alive.,find_all_active_medications
Put together records of all drugs that are presently being employed.,find_all_active_medications
Make a listing of all medications in use now.,find_all_active_medications
Generate a summary of all drugs that are currently efficacious.,find_all_active_medications
Collect the data of drugs now in effect.,find_all_active_medications
Produce a directory of medications that are now even working.,find_all_active_medications
Generate a compilation of all drugs presently viable.,find_all_active_medications
Render a tabulation of all medications still effective.,find_all_active_medications
Assemble a roster of all drugs that are still in effect.,find_all_active_medications
Generate a round-up of all drugs currently being utilized.,find_all_active_medications
Assemble a profile of all existing drugs.,find_all_active_medications
Collate all particulars of medications that are presently in vigor.,find_all_active_medications
Compile a compilation of all medications that are still in operation.,find_all_active_medications
Construct a register of all drugs effective right now.,find_all_active_medications
Construct a synopsis of all drugs that are currently active.,find_all_active_medications
Assess the details of all medications in use currently.,find_all_active_medications
Obtain a log of all medications that are currently in state of vitality.,find_all_active_medications
Stockpile a directory of all medications that are still inefficient.,find_all_active_medications
Obtain a collection of medications currently in use.,find_all_active_medications
Assemble a dossier of all existing drugs.,find_all_active_medications
Estimate a register of drugs now in operation.,find_all_active_medications
Round up all drugs that are currently working.,find_all_active_medications
Compile an inventory of medications that are presently in circulation.,find_all_active_medications
Compare the information on all medications that are currently available.,find_all_active_medications
Retrieve details on all medications that are presently in effect.,find_all_active_medications
Get a registry of medications that are still in action.,find_all_active_medications
Appraise records of drugs currently in use.,find_all_active_medications
Make a survey of all medications that are now active.,find_all_active_medications
Investigate the facts concerning all drugs that are presently functioning.,find_all_active_medications
Unearth an account of all medications still in business.,find_all_active_medications
Find out the information on drugs that continue working.,find_all_active_medications
Pick up a database of all medications in vigor.,find_all_active_medications
Make an account of all medications presently in circulation.,find_all_active_medications
Assemble a reference of all medications that are now going.,find_all_active_medications
Retrieve the pertinent information of all medications that are currently thriving.,find_all_active_medications
Put together a database of all medications that remain in functioning.,find_all_active_medications
Gather data of all medications still in activity.,find_all_active_medications
Unearth all medications with current effectiveness.,find_all_active_medications
Retrieve all medicines currently in effect.,find_all_active_medications
Uncover all operative drugs.,find_all_active_medications
Dig up all presently operational medications.,find_all_active_medications
Track down all drugs that are currently active.,find_all_active_medications
Locate all functional medications.,find_all_active_medications
Spot all drugs that are currently operating.,find_all_active_medications
Unearth all active drugs.,find_all_active_medications
Make a list of all drugs that are effective.,find_all_active_medications
Discover all medications currently having an effect.,find_all_active_medications
Sniff out all drugs that are still working.,find_all_active_medications
Search for all active drugs.,find_all_active_medications
Turn up all currently effective medicines.,find_all_active_medications
Uncover all medications that are currently in action.,find_all_active_medications
Unearth all drugs that are still functioning.,find_all_active_medications
Source all medicines currently in play.,find_all_active_medications
Seek out all medications that are currently in force.,find_all_active_medications
Locate all active drugs in use.,find_all_active_medications
Find all medicines currently in effect.,find_all_active_medications
Track down all drugs currently having any impact.,find_all_active_medications
Find all currently functional medicines.,find_all_active_medications
Pinpoint all medications being used currently.,find_all_active_medications
Sniff out all drugs with current efficacy.,find_all_active_medications
Identify all medications that are currently active.,find_all_active_medications
Retrieve all drugs with current force.,find_all_active_medications
Find all remedies which are presently in operation.,find_all_active_medications
Track down all medicines which are currently performing.,find_all_active_medications
Discover all drugs which are still operating.,find_all_active_medications
Source all operative drugs.,find_all_active_medications
Make a list of all drugs currently in play.,find_all_active_medications
Locate all medications with present effect.,find_all_active_medications
Track down all medicines that are functioning.,find_all_active_medications
Seek out all drugs currently active.,find_all_active_medications
Turn up all drugs currently in force.,find_all_active_medications
Unearth all medicines with existing influence.,find_all_active_medications
Pinpoint any medications with current strength.,find_all_active_medications
Retrieve all drugs operating presently.,find_all_active_medications
Identify all drugs currently in use.,find_all_active_medications
Discover all medicines currently having efficacy.,find_all_active_medications
Find all remedies with current capability.,find_all_active_medications
Locate all medications that are presently in action.,find_all_active_medications
Find all drugs now functioning.,find_all_active_medications
Search for all currently active medicines.,find_all_active_medications
Make a list of all drugs that are now operative.,find_all_active_medications
Sniff out all medications currently in effect.,find_all_active_medications
Pinpoint all medicine with present efficiency.,find_all_active_medications
Track down any drugs with current force.,find_all_active_medications
Seek out all drugs still operative.,find_all_active_medications
Locate all drugs which are currently in play.,find_all_active_medications
Unearth all remedies which are currently being used.,find_all_active_medications
Discover all medications which are currently in use.,find_all_active_medications
Retrieve all medicines that are now active.,find_all_active_medications
Spot any drugs with present effect.,find_all_active_medications
Make a list of all medications presently having an impact.,find_all_active_medications
Uncover all drugs currently in action.,find_all_active_medications
Find all drugs now having a force.,find_all_active_medications
Locate any medicines with present capability.,find_all_active_medications
Track down all medications that are presently effective.,find_all_active_medications
Sniff out any drugs which are now operating.,find_all_active_medications
Discover all drugs with existing efficacy.,find_all_active_medications
Seek out all remedies now performing.,find_all_active_medications
Turn up all drugs that are currently able.,find_all_active_medications
Collect all drugs with current ability.,find_all_active_medications
Find all medicines now functioning.,find_all_active_medications
Retrieve all medications currently having an effect.,find_all_active_medications
Make a list of all medicines with existing performance.,find_all_active_medications
Locate all drugs with current operation.,find_all_active_medications
Unearth any medications which are currently in force.,find_all_active_medications
Pinpoint all drugs that are currently acting.,find_all_active_medications
Discover all medicines current in play.,find_all_active_medications
Track down all drugs which are currently in use.,find_all_active_medications
Find all remedies presently working.,find_all_active_medications
Seek out all medications with current strength.,find_all_active_medications
Uncover all drugs that are now operating.,find_all_active_medications
Retrieve all medicine now having an effect.,find_all_active_medications
Make a list of any interactive drugs.,find_all_active_medications
Locate all medicines currently performing.,find_all_active_medications
Spot any drugs currently in play.,find_all_active_medications
Unearth all medications with current impact.,find_all_active_medications
Sniff out all remedies that are currently active.,find_all_active_medications
Pinpoint any drugs which are presently operating.,find_all_active_medications
Search for all medications now in force.,find_all_active_medications
Discover any medications having a current force.,find_all_active_medications
Make a list of all medicines with present operation.,find_all_active_medications
Locate all drugs now able.,find_all_active_medications
Seek out any medicines still functioning.,find_all_active_medications
Turn up all remedies with existing capability.,find_all_active_medications
Track down all medications with current efficacy.,find_all_active_medications
Collect all drugs that are now being used.,find_all_active_medications
Find any medications with present effect.,find_all_active_medications
Unearth any drugs with current performance.,find_all_active_medications
Retrieve all medicine with present functioning.,find_all_active_medications
Make a list of all drugs with existing power.,find_all_active_medications
Locate any drugs which are presently in play.,find_all_active_medications
Sniff out all medications now active.,find_all_active_medications
Pinpoint any drugs having current influence.,find_all_active_medications
Search for all remedies now operational.,find_all_active_medications
Discover all drugs that are currently working.,find_all_active_medications
Seek out all medications now in use.,find_all_active_medications
Turn up all drugs with present capability.,find_all_active_medications
Discover all medications which are currently active.,find_all_active_medications
Uncover all medications that are currently in effect.,find_all_active_medications
