sentence,class
Identify medications that are no longer in use.,find_all_inactive_medications
Discover medications that are not currently active.,find_all_inactive_medications
Search for inactive medications.,find_all_inactive_medications
Locate medications that are no longer being employed.,find_all_inactive_medications
Uncover medications that are not currently being used.,find_all_inactive_medications
Unearth medications that are not functioning.,find_all_inactive_medications
Come across medications that are no longer functional.,find_all_inactive_medications
Find medications that are no longer functional.,find_all_inactive_medications
Uncover medications that are currently inactive.,find_all_inactive_medications
Come across medications that are not currently being used.,find_all_inactive_medications
Track down medications that are no longer being used.,find_all_inactive_medications
Search for medications that have been deactivated.,find_all_inactive_medications
Look up medications that are no longer in use.,find_all_inactive_medications
Uncover medications that are not functioning.,find_all_inactive_medications
Discover medications that are no longer active.,find_all_inactive_medications
Track down medications that are not currently active.,find_all_inactive_medications
Identify medications that have become deactivated.,find_all_inactive_medications
Scan for medications that are no longer being used.,find_all_inactive_medications
Examine for medications that are not currently functional.,find_all_inactive_medications
Retrieve medications that are not performing.,find_all_inactive_medications
Explore for medications that are no longer performing.,find_all_inactive_medications
Seek medications that are no longer working.,find_all_inactive_medications
Track down medications that are not running.,find_all_inactive_medications
Ascertain medications that are no longer in action.,find_all_inactive_medications
Identify medications that are no longer employed.,find_all_inactive_medications
Come across medications that are no longer being utilized.,find_all_inactive_medications
Retrieve medications that are not currently being applied.,find_all_inactive_medications
Search for medications that have been become deactivated.,find_all_inactive_medications
Look up medications that have become disengaged.,find_all_inactive_medications
Examine for medications that have become suspended.,find_all_inactive_medications
Retrieve medications that are no longer operational.,find_all_inactive_medications
Identify medications that are not currently operational.,find_all_inactive_medications
Seek medications that are not operational.,find_all_inactive_medications
Scrutinize for medications that are no longer in effect.,find_all_inactive_medications
Discover medications that are not currently in effect.,find_all_inactive_medications
Track down medications that are not in force.,find_all_inactive_medications
Scan for medications that are no longer effective.,find_all_inactive_medications
Search for medications that have been deactivated.,find_all_inactive_medications
Look up medications that have been deactivated.,find_all_inactive_medications
Examine for medications that are no longer functioning.,find_all_inactive_medications
Retrieve medications that are not currently operating.,find_all_inactive_medications
Explore for medications that are no longer working.,find_all_inactive_medications
Seek medications that are no longer performing.,find_all_inactive_medications
Ascertain medications that are not performing.,find_all_inactive_medications
Track down medications that are not functioning.,find_all_inactive_medications
Inspect for medications that are no longer running.,find_all_inactive_medications
Check for medications that have been deactivated.,find_all_inactive_medications
Pinpoint medications that are not activated.,find_all_inactive_medications
Investigate for medications that are no longer running.,find_all_inactive_medications
Discover medications that have been deactivated.,find_all_inactive_medications
Look for medications that are not operating.,find_all_inactive_medications
Find medications that are not operating.,find_all_inactive_medications
Unearth medications that are not running.,find_all_inactive_medications
Come across medications that are not working.,find_all_inactive_medications
Uncover medications that are no longer active.,find_all_inactive_medications
Gain knowledge of medications that are not activated.,find_all_inactive_medications
Track down medications that are not activated.,find_all_inactive_medications
Locate medications that are not running.,find_all_inactive_medications
Seek medications that are not currently operating.,find_all_inactive_medications
Discover medications that have become deactivated.,find_all_inactive_medications
Search for medications that have become inactive.,find_all_inactive_medications
Examine for medications that are not activated.,find_all_inactive_medications
Retrieve medications that are no longer activated.,find_all_inactive_medications
Explore medications that have been deactivated.,find_all_inactive_medications
Identify medications that are no longer effective.,find_all_inactive_medications
Seek medications that are no longer running.,find_all_inactive_medications
Ascertain medications that are not behaving.,find_all_inactive_medications
Search for medications that have been disengaged.,find_all_inactive_medications
Examine for medications that have been disabled.,find_all_inactive_medications
Retrieve medications that are not effective.,find_all_inactive_medications
Explore for medications that are no longer effective.,find_all_inactive_medications
Track down medications that are not currently behaving.,find_all_inactive_medications
Look up medications that have been disengaged.,find_all_inactive_medications
Unearth medications that are not effective.,find_all_inactive_medications
Come across medications that are not effective.,find_all_inactive_medications
Identify medications that are not operating.,find_all_inactive_medications
Cogitate medications that have been deactivated.,find_all_inactive_medications
Scan for medications that have been deactivated.,find_all_inactive_medications
Involvement medications that are not currently active.,find_all_inactive_medications
Look for medications that are no longer performing.,find_all_inactive_medications
Find medications that are no longer performing.,find_all_inactive_medications
Search for medications that are not functioning.,find_all_inactive_medications
Identify medications that are not functioning.,find_all_inactive_medications
Uncover medications that are not operational.,find_all_inactive_medications
Retrieve medications that are no longer operational.,find_all_inactive_medications
Discover medications that have become disabled.,find_all_inactive_medications
Consider medications that are not operating.,find_all_inactive_medications
Inspect for medications that are not active.,find_all_inactive_medications
Ascertain medications that are not currently active.,find_all_inactive_medications
Track down medications that have been deactivated.,find_all_inactive_medications
Scan for medications that have become inactive.,find_all_inactive_medications
Look up medications that are not active.,find_all_inactive_medications
Examine for medications that have been suspended.,find_all_inactive_medications
Examine medications that are no longer functioning.,find_all_inactive_medications
Locate medications that are no longer operational.,find_all_inactive_medications
Seek medications that are no longer operational.,find_all_inactive_medications
Discover medications that are not currently operating.,find_all_inactive_medications
Look for medications that have become disengaged.,find_all_inactive_medications
Find medications that have become disengaged.,find_all_inactive_medications
Unearth medications that are not active.,find_all_inactive_medications
Can you please provide me with a list of all the medications that are currently inactive?,find_all_inactive_medications
I would like to retrieve a comprehensive list of all medications that are currently marked as inactive.,find_all_inactive_medications
Is there a way to locate all the medications in our system that are currently marked as inactive?,find_all_inactive_medications
Could you assist me in identifying all the medications that are no longer active?,find_all_inactive_medications
May I request a report that contains a list of all the inactive medications in our system?,find_all_inactive_medications
I need to find out which medications are inactive in our system. Could you please help me with that?,find_all_inactive_medications
I am looking for a way to view all the medications that are currently inactive. Can you guide me?,find_all_inactive_medications
It would be helpful if you could generate a list of all the medications that are inactive.,find_all_inactive_medications
I need to retrieve a list of all the medications that have been marked as inactive. Could you help me with that?,find_all_inactive_medications
Could you please provide me with a list of all the medications that are currently not in use?,find_all_inactive_medications
I am searching for a way to locate all the medications that are currently inactive. Could you assist me with that?,find_all_inactive_medications
Is it possible to generate a report that lists all the inactive medications in our system?,find_all_inactive_medications
I need to find out which medications are not currently being used. Can you help me with that?,find_all_inactive_medications
Can you please guide me on how to find all the medications that are currently marked as inactive?,find_all_inactive_medications
I would appreciate it if you could assist me in identifying all the medications that are no longer active in our system.,find_all_inactive_medications
Is there a way to view all the medications that are currently inactive in our system?,find_all_inactive_medications
I need to obtain a list of all the inactive medications. Could you provide me with that information?,find_all_inactive_medications
Could you please help me in finding out which medications are currently inactive in our system?,find_all_inactive_medications
