sentence,class
Seek out identifications,find_indentifiers
Retrieve identifications,find_indentifiers
Uncover identifications,find_indentifiers
Locate identifications,find_indentifiers
Spot identifications,find_indentifiers
Come across identifications,find_indentifiers
Find identifications,find_indentifiers
Hunt down identifications,find_indentifiers
Unearth identifications,find_indentifiers
Trace identifications,find_indentifiers
Search for identifications,find_indentifiers
Look up identifications,find_indentifiers
Stumble upon identifications,find_indentifiers
Reveal identifications,find_indentifiers
Unearth identifications,find_indentifiers
Spot identifications,find_indentifiers
Understand identifications,find_indentifiers
Figure out identifications,find_indentifiers
Dig up identifications,find_indentifiers
Obtain identifications,find_indentifiers
Trace identifications,find_indentifiers
Come upon identifications,find_indentifiers
Come to know identifications,find_indentifiers
Track down identifications,find_indentifiers
Discover identifications,find_indentifiers
Make out identifications,find_indentifiers
Get ahold of identifications,find_indentifiers
Try to find identifications,find_indentifiers
Search up identifications,find_indentifiers
Investigate identifications,find_indentifiers
Fathom identifications,find_indentifiers
Unveil identifications,find_indentifiers
Accomplish identifications,find_indentifiers
Find out identifications,find_indentifiers
Acquire identifications,find_indentifiers
Scout out identifications,find_indentifiers
Manage to find identifications,find_indentifiers
Seek out identifications,find_indentifiers
Accompany identifications,find_indentifiers
Perceive identifications,find_indentifiers
Get at identifications,find_indentifiers
pick out identifications,find_indentifiers
Meet up with identifications,find_indentifiers
Collect identifications,find_indentifiers
Realize identifications,find_indentifiers
Ascertain identifications,find_indentifiers
Establish identifications,find_indentifiers
Gather identifications,find_indentifiers
Identify identifications,find_indentifiers
Recognize identifications,find_indentifiers
Lay eyes upon identifications,find_indentifiers
Gain knowledge of identifications,find_indentifiers
Draw upon identifications,find_indentifiers
Derive identifications,find_indentifiers
Navigate identifications,find_indentifiers
Unmask identifications,find_indentifiers
Track identifications,find_indentifiers
Light upon identifications,find_indentifiers
Pull out identifications,find_indentifiers
Harvest identifications,find_indentifiers
Find out about identifications,find_indentifiers
Engage identifications,find_indentifiers
Harvest identifications,find_indentifiers
Discern identifications,find_indentifiers
Discriminate identifications,find_indentifiers
Encounter identifications,find_indentifiers
Find a way to identifications,find_indentifiers
Overcome identifications,find_indentifiers
Expose identifications,find_indentifiers
Center in on identifications,find_indentifiers
Stalk identifications,find_indentifiers
Grasp identifications,find_indentifiers
Corner identifications,find_indentifiers
Hunt for identifications,find_indentifiers
Make sense of identifications,find_indentifiers
Fall upon identifications,find_indentifiers
Detain identifications,find_indentifiers
Suss out identifications,find_indentifiers
Interrogate identifications,find_indentifiers
Inspect identifications,find_indentifiers
Rife with identifications,find_indentifiers
Extract identifications,find_indentifiers
View identifications,find_indentifiers
Catch identifications,find_indentifiers
Dash with identifications,find_indentifiers
Lumber about identifications,find_indentifiers
Defeat identifications,find_indentifiers
Address identifications,find_indentifiers
Make off with identifications,find_indentifiers
Wrestle with identifications,find_indentifiers
Tour identifications,find_indentifiers
Outwit identifications,find_indentifiers
Pursue identifications,find_indentifiers
Cross identifications,find_indentifiers
Daredevil identifications,find_indentifiers
Interpret identifications,find_indentifiers
Interact with identifications,find_indentifiers
Venture identifications,find_indentifiers
Stumble identifications,find_indentifiers
Alight upon identifications,find_indentifiers
Uncover identifiers.,find_indentifiers
Discover identifiers.,find_indentifiers
Locate identifiers.,find_indentifiers
Trace identifiers.,find_indentifiers
Reveal identifiers.,find_indentifiers
Hunt for identifiers.,find_indentifiers
Seek out identifiers.,find_indentifiers
Astronomize identifiers.,find_indentifiers
Rummage for identifiers.,find_indentifiers
Scout for identifiers.,find_indentifiers
Spot identifiers.,find_indentifiers
Search for identifiers.,find_indentifiers
Unearthly identifiers.,find_indentifiers
Descry identifiers.,find_indentifiers
Trail identifiers.,find_indentifiers
Recognize identifiers.,find_indentifiers
Reconnoiter identifiers.,find_indentifiers
Dig up identifiers.,find_indentifiers
Espy identifiers.,find_indentifiers
Catch identifiers.,find_indentifiers
Feel out identifiers.,find_indentifiers
Retrieve identifiers.,find_indentifiers
Unmask identifiers.,find_indentifiers
Perceive identifiers.,find_indentifiers
Find identifiers.,find_indentifiers
Track down identifiers.,find_indentifiers
Espial identifiers.,find_indentifiers
Forage for identifiers.,find_indentifiers
Dig out identifiers.,find_indentifiers
Fetch identifiers.,find_indentifiers
Mine identifiers.,find_indentifiers
Stumble upon identifiers.,find_indentifiers
Pinpoint identifiers.,find_indentifiers
Sleuth out identifiers.,find_indentifiers
Come across identifiers.,find_indentifiers
Contrive identifiers.,find_indentifiers
Observe identifiers.,find_indentifiers
Hit upon identifiers.,find_indentifiers
Delineate identifiers.,find_indentifiers
Apprehend identifiers.,find_indentifiers
Trace out identifiers.,find_indentifiers
Search out identifiers.,find_indentifiers
Sift for identifiers.,find_indentifiers
Make out identifiers.,find_indentifiers
Pick out identifiers.,find_indentifiers
Land identifiers.,find_indentifiers
Seek identifiers.,find_indentifiers
Strike identifiers.,find_indentifiers
Inscribe identifiers.,find_indentifiers
Notice identifiers.,find_indentifiers
Refind identifiers.,find_indentifiers
Sense identifiers.,find_indentifiers
Ransack for identifiers.,find_indentifiers
Unfold identifiers.,find_indentifiers
Charm identifiers.,find_indentifiers
Make a search for identifiers.,find_indentifiers
Determine identifiers.,find_indentifiers
Uncovering identifiers.,find_indentifiers
Disclose identifiers.,find_indentifiers
Cloak-and-dagger identifiers.,find_indentifiers
Examine identifiers.,find_indentifiers
Track out identifiers.,find_indentifiers
Surmise up identifiers.,find_indentifiers
On the track of identifiers.,find_indentifiers
Find out identifiers.,find_indentifiers
Illuminate identifiers.,find_indentifiers
Bear down on identifiers.,find_indentifiers
Scan for identifiers.,find_indentifiers
Range around for identifiers.,find_indentifiers
Undertake to seek identifiers.,find_indentifiers
Subtract identifiers.,find_indentifiers
Obtain identifiers.,find_indentifiers
Disinter identifiers.,find_indentifiers
Recognize the presence of identifiers.,find_indentifiers
Track down identifiers.,find_indentifiers
Shadow identifiers.,find_indentifiers
Venture into finding identifiers.,find_indentifiers
Investigate and determine the presence of identifiers.,find_indentifiers
Majoring in identifiers.,find_indentifiers
Tune in on identifiers.,find_indentifiers
Stalk identifiers.,find_indentifiers
Inspect for identifiers.,find_indentifiers
Track identifiers.,find_indentifiers
Penetrate for identifiers.,find_indentifiers
Make an attempt at finding identifiers.,find_indentifiers
Screen identifiers.,find_indentifiers
Range for identifiers.,find_indentifiers
Intuit identifiers.,find_indentifiers
Trace the whereabouts of identifiers.,find_indentifiers
Take into one's search identifiers.,find_indentifiers
Voyaging towards identifiers.,find_indentifiers
Stricken by identifiers.,find_indentifiers
Pan out identifiers.,find_indentifiers
Inspecting identifiers.,find_indentifiers
Calculate identifiers.,find_indentifiers
Being on the quest for identifiers.,find_indentifiers
Conduct research into identifiers.,find_indentifiers
Engage in the practice of finding identifiers.,find_indentifiers
Locate indentifiers,find_indentifiers
Identify indentifiers,find_indentifiers
Retrieve indentifiers,find_indentifiers
Track down indentifiers,find_indentifiers
Unearth indentifiers,find_indentifiers
Fetch indentifiers,find_indentifiers
Encounter indentifiers,find_indentifiers
Recognize indentifiers,find_indentifiers
Result in indentifiers,find_indentifiers
Expose indentifiers,find_indentifiers
Root out indentifiers,find_indentifiers
Determine indentifiers,find_indentifiers
Acquire indentifiers,find_indentifiers
Describe indentifiers,find_indentifiers
Approach indentifiers,find_indentifiers
Look for indentifiers,find_indentifiers
Investigate indentifiers,find_indentifiers
Spot indentifiers,find_indentifiers
Hit upon indentifiers,find_indentifiers
Discovering indentifiers,find_indentifiers
Unlock indentifiers,find_indentifiers
Unmask indentifiers,find_indentifiers
Seize indentifiers,find_indentifiers
Unearth identifying markers,find_indentifiers
Search for identifiers,find_indentifiers
Unveil indentifiers,find_indentifiers
Flush out indentifiers,find_indentifiers
Stumble across indentifiers,find_indentifiers
Latch onto indentifiers,find_indentifiers
Spotting indentifiers,find_indentifiers
Bump into indentifiers,find_indentifiers
Fish out indentifiers,find_indentifiers
Unearth identifyers,find_indentifiers
Explore indentifiers,find_indentifiers
Discern indentifiers,find_indentifiers
Recognize mark of indentifiers,find_indentifiers
Become aware of indentifiers,find_indentifiers
Infer indentifiers,find_indentifiers
Gain access to indentifiers,find_indentifiers
Make out indentifiers,find_indentifiers
Notice indentifiers,find_indentifiers
Find identifying labels,find_indentifiers
Come across indentifiers,find_indentifiers
Follow indentifiers,find_indentifiers
Notice indicative signs,find_indentifiers
Ascertain indentifiers,find_indentifiers
Turn up indentifiers,find_indentifiers
Track indentifiers,find_indentifiers
Come upon indentifiers,find_indentifiers
Locate recognizing signs,find_indentifiers
Discovering identifying features,find_indentifiers
Spot identifying features,find_indentifiers
Find distinguishing features,find_indentifiers
Trace indentifiers,find_indentifiers
Distinguish indentifiers,find_indentifiers
Take cognizance of indentifiers,find_indentifiers
Look into indentifiers,find_indentifiers
Pinpoint indentifiers,find_indentifiers
Glean identifying characteristics,find_indentifiers
Trace distinctive criteria,find_indentifiers
Trace knowing signs,find_indentifiers
Recognize identifying signs,find_indentifiers
Unearth indicated credentials,find_indentifiers
Search for recognizing labels,find_indentifiers
Follow up indentifiers,find_indentifiers
Fingering identifying marks,find_indentifiers
Track down recognition marks,find_indentifiers
Search out distinctive factors,find_indentifiers
Perceive specific identifiers,find_indentifiers
Pursue identifying traits,find_indentifiers
Unfold recognition marks,find_indentifiers
Eye distinguishing clues,find_indentifiers
Ascertain distinctive hints,find_indentifiers
Grok identifying criteria,find_indentifiers
Glimpse characterizing symbols,find_indentifiers
Reduce thefinding of identifiers,find_indentifiers
Try to findgivenieringpoints,find_indentifiers
Look for recognisable features,find_indentifiers
Seek out identifying tags,find_indentifiers
Watch out foridenticationdetails,find_indentifiers
Look out for distinctive traits,find_indentifiers
Find out identifying imprints,find_indentifiers
Look into reliable credentials,find_indentifiers
See into recognition points,find_indentifiers
Discover related information,find_indentifiers
Gain knowledge of telling signs,find_indentifiers
Investigate characteristic pointers,find_indentifiers
Study unmistakable evidences,find_indentifiers
Observe indicative signals,find_indentifiers
Get to recognize intuition,find_indentifiers
