sentence,class
Perusing the data on the drug,view_drug_details
Scrutinizing the pharmaceutical's particulars,view_drug_details
Have a gander at the drug information,view_drug_details
Observing the drug's specifics,view_drug_details
Look over the particulars of the drug,view_drug_details
Glancing over the drug facts,view_drug_details
Investigate the pharmaceutical facts,view_drug_details
Survey the details of the medication,view_drug_details
Examine the characteristics of the drug,view_drug_details
Review the particulars of the medication,view_drug_details
Check the details of the medicine,view_drug_details
Look into the details of the drug,view_drug_details
Glance at the information on the medication,view_drug_details
Scan the characteristics of the medicine,view_drug_details
Glimpse at the information on the drug,view_drug_details
Search for the particulars of the drug,view_drug_details
Study the details of the drug,view_drug_details
Learn about the details of the drug,view_drug_details
Uncover the characteristics of the medicine,view_drug_details
Peruse the facts of the medication,view_drug_details
Inspect the particulars of the pharmaceutical,view_drug_details
Probe the details of the medication,view_drug_details
Consider the specifics of the medication,view_drug_details
Get acquainted with the characteristics of the drug,view_drug_details
Assess the particulars of the medication,view_drug_details
Be enlightened by the particulars of the medication,view_drug_details
Investigating the facts of the medicine,view_drug_details
Delve into the particulars of the drug,view_drug_details
Accessing the information on the pharmaceutical,view_drug_details
Gain knowledge of the facts of the medication,view_drug_details
Read up on the particulars of the drug,view_drug_details
Becoming aware of the particulars of the medication,view_drug_details
Extracting the information on the drug,view_drug_details
Evaluating the particulars of the medicament,view_drug_details
Establishing the details of the medicament,view_drug_details
Determining the characteristics of the drug,view_drug_details
Locating the information on the medicament,view_drug_details
Find out about the particulars of the medicament,view_drug_details
Exposing the particulars of the medicament,view_drug_details
Grasping the facts of the medication,view_drug_details
Compare the details of the medicament,view_drug_details
Understand the particulars of the medicament,view_drug_details
Realize the details of the medicament,view_drug_details
Exalting the information on the medicament,view_drug_details
Examining the characteristics of the medicament,view_drug_details
Searching the particulars of the medication,view_drug_details
Becoming familiar with the facts of the drug,view_drug_details
Delving the data on the medication,view_drug_details
Appreciating the facts of the medication,view_drug_details
Concentrate on the particulars of the medication,view_drug_details
Knowing the particulars of the medicament,view_drug_details
Digging the information on the medicament,view_drug_details
